,Location,Date,Carbon monoxide,Nitric Oxide,Nitrogen dioxide,Oxides of Nitrogen,Ozone,PM10 Particulate matter,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,Nitric oxide,CCG,lat/long,distance_from_LHR,Radius
308,Hillingdon Harmondsworth Osiris,2008,,,,,,,27.24802403001307,8.380815715730385,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
309,Hillingdon Harmondsworth Osiris,2009,,,,,,,33.36058935441092,9.684557419992549,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
310,Hillingdon Harmondsworth Osiris,2010,,,,,,,23.636447614300295,7.273853526315349,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
311,Hillingdon Harmondsworth Osiris,2011,,,,,,,38.569019008517394,12.169893310673585,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
312,Hillingdon Harmondsworth Osiris,2012,,,,,,,14.558314688661808,5.332670524115122,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
313,Hillingdon Harmondsworth Osiris,2013,,,,,,,17.38116092230692,8.133738208881354,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
314,Hillingdon Harmondsworth Osiris,2014,,,,,,,15.770073344650633,6.952120205535182,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
315,Hillingdon Harmondsworth Osiris,2015,,,,,,,16.782488290977042,6.705193414871141,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
316,Hillingdon Harmondsworth Osiris,2016,,,,,,,15.916812235415392,6.151417341700552,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
317,Hillingdon Harmondsworth Osiris,2017,,,,,,,14.33140464340204,6.792249279243627,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
318,Hillingdon Harmondsworth Osiris,2018,,,,,,,16.46369065231014,5.854527618611072,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
319,Hillingdon Harmondsworth Osiris,2019,,,,,,,14.538792872823194,5.30565185327581,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
320,Hillingdon Harmondsworth Osiris,2020,,,,,,,13.244743732699956,5.167643012983562,,,Hillingdon,"[51.487534, -0.479451]",2.6129744107333273,Inner
321,Hillingdon Hayes,2008,,,50.50521302287607,,,,22.201722720744453,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
322,Hillingdon Hayes,2009,,,55.65812732815841,,,,21.942813947071745,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
323,Hillingdon Hayes,2010,,,53.61289026141616,,,,24.012380791789834,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
324,Hillingdon Hayes,2011,,,55.2924463341956,,,,24.940164963161187,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
325,Hillingdon Hayes,2012,,,46.03479447550905,,,,25.320915903915193,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
326,Hillingdon Hayes,2013,,,46.894924372873646,,,,29.381717804357816,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
327,Hillingdon Hayes,2014,,,52.95816817753284,,,,34.390588715280174,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
328,Hillingdon Hayes,2015,,,46.15871470722708,,,,27.730401266920904,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
329,Hillingdon Hayes,2016,,,46.714937094982574,,,,28.311734236960728,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
330,Hillingdon Hayes,2017,,,47.175326192492044,,,,27.01801231125958,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
331,Hillingdon Hayes,2018,,,42.76452597314781,,,,29.568862402053067,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
332,Hillingdon Hayes,2019,,,41.18243197755103,,,,27.773579175616714,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
333,Hillingdon Hayes,2020,,,29.949996791395016,,,,25.291246343037567,,,,Hillingdon,"[51.5128272, -0.4008404]",6.029381352134562,Inner
334,Hillingdon Oxford Avenue,2005,,,37.3129831504265,,,,23.73873075691383,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
335,Hillingdon Oxford Avenue,2006,,,45.22788588009829,,,,22.753159901391726,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
336,Hillingdon Oxford Avenue,2007,,,43.59141377107863,,,,22.04284584171091,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
337,Hillingdon Oxford Avenue,2008,,,42.374239179367954,,,,21.70312557922003,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
338,Hillingdon Oxford Avenue,2009,,,43.60826878378596,,,,20.103177911760945,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
339,Hillingdon Oxford Avenue,2010,,,41.8696588337042,,,,16.959579699469597,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
340,Hillingdon Oxford Avenue,2011,,,44.46395906166546,,,,22.21121897654778,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
341,Hillingdon Oxford Avenue,2012,,,44.00023400942098,,,,20.436903596413774,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
342,Hillingdon Oxford Avenue,2013,,,39.27895664636547,,,,21.158604272719277,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
343,Hillingdon Oxford Avenue,2014,,,35.1289219544043,,,,20.213087997819468,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
344,Hillingdon Oxford Avenue,2015,,,34.525344978843634,,,,18.49296648992038,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
345,Hillingdon Oxford Avenue,2016,,,38.79274966836318,,,,19.807792998460314,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
346,Hillingdon Oxford Avenue,2017,,,35.51692035275198,,,,19.108181479285914,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
347,Hillingdon Oxford Avenue,2018,,,34.9569730335248,,,,23.644640216630737,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
348,Hillingdon Oxford Avenue,2019,,,33.04750416318783,,,,23.504354656576616,,,,Hillingdon,"[51.48113, -0.42376]",2.4491758113632573,Inner
