Date,Location,Nitrogen dioxide,Ozone,PM10 particulate matter (Hourly measured),PM2.5 particulate matter (Hourly measured),Sulphur dioxide,CCG
2007-12,Watford Town Hall,,,28.63674437219319,,,Watford
2008-01,Broadway,103.44579565092165,,27.053541979010493,,,Hammersmith and Fulham
2008-01,Brook Green,34.57542592291124,,17.848161976911978,,,Hammersmith and Fulham
2008-01,Oxford High St,44.88696927196224,,22.451092269114707,,,Oxford
2008-01,Oxford St Ebbes (Cal Club),,44.63930074133441,,,,Oxford
2008-01,Reading - Caversham Road,40.9289043384152,,19.643588762803343,,,Reading
2008-01,Reading - Kings Road,50.368769935664496,,,,,Reading
2008-01,Reading - Oxford Road,37.161705236091635,,25.890212281679673,,,Reading
2008-01,Reading Caversham Road,40.9289043384152,,19.643588762803343,,,Reading
2008-01,Reading Kings Road,50.368769935664496,,,,,Reading
2008-01,Reading Oxford Road,37.161705236091635,,25.890212281679673,,,Reading
2008-01,Watford Town Hall,,,19.250795877023087,,,Watford
2008-02,Broadway,111.17891278048475,,46.755762620837814,,,Hammersmith and Fulham
2008-02,Brook Green,59.25918005671078,,38.82330340114431,,,Hammersmith and Fulham
2008-02,Oxford High St,73.17562322734736,,33.139305347326335,,,Oxford
2008-02,Oxford St Ebbes (Cal Club),,32.58045977011494,,,,Oxford
2008-02,Reading - Caversham Road,53.62951461143616,,34.07580138502177,,,Reading
2008-02,Reading - Kings Road,72.56636079724849,,,,,Reading
2008-02,Reading - Oxford Road,52.19024442456397,,41.20135467980295,,,Reading
2008-02,Reading Caversham Road,53.62951461143616,,34.07580138502177,,,Reading
2008-02,Reading Kings Road,72.56636079724849,,,,,Reading
2008-02,Reading Oxford Road,52.19024442456397,,41.20135467980295,,,Reading
2008-02,Watford Town Hall,50.48843873517786,,34.2712605800628,,,Watford
2008-03,Broadway,67.8954486677116,,,,,Hammersmith and Fulham
2008-03,Brook Green,36.37468514307898,,20.817237691711995,,,Hammersmith and Fulham
2008-03,Oxford High St,54.410875940328964,,25.03903693314633,,,Oxford
2008-03,Oxford St Ebbes (Cal Club),,57.424731182795696,,,,Oxford
2008-03,Reading - Caversham Road,31.827630796038935,,15.940546594982077,,,Reading
2008-03,Reading - Kings Road,56.76840693471986,,,,,Reading
2008-03,Reading - Oxford Road,33.90472767648433,,19.812868480725623,,,Reading
2008-03,Reading Caversham Road,31.827630796038935,,15.940546594982077,,,Reading
2008-03,Reading Kings Road,56.76840693471986,,,,,Reading
